0,1,2,3,4,5,6,7
0,100002543,0,2100075937888371972,121.630604,39.140559,PICKUP,1582940754
1,100002543,0,2100075937888371972,121.630604,39.140559,DELIVERY,1582940989
2,100002543,0,2100075942852035844,121.630604,39.140559,PICKUP,1582943289
3,100002543,0,2100075945276605765,121.630604,39.140559,PICKUP,1582943499
4,100002543,0,2100075942852035844,121.630604,39.140559,DELIVERY,1582944071
5,100002543,0,2100075945276605765,121.630604,39.140559,DELIVERY,1582944252
6,100002652,0,2100075952104506966,121.56560900000001,39.150403000000004,PICKUP,1582946864
7,100002652,0,2100075952535209012,121.56560900000001,39.150403000000004,PICKUP,1582947008
8,100002652,0,2100075952104506966,121.56560900000001,39.150403000000004,DELIVERY,1582947451
9,100002652,0,2100075952535209012,121.56560900000001,39.150403000000004,DELIVERY,1582947516
10,100002652,2,2100075968254641374,121.57059299999999,39.151671,PICKUP,1582953344
11,100002652,2,2100075968254641374,121.57059299999999,39.151671,DELIVERY,1582953356
12,100002652,2,2100075965806609538,121.57059299999999,39.151671,PICKUP,1582952830
13,100002652,2,2100075968170361920,121.57059299999999,39.151671,PICKUP,1582952922
14,100002652,2,2100075969531020945,121.57059299999999,39.151671,PICKUP,1582953170
15,100002652,2,2100075967730845329,121.57059299999999,39.151671,PICKUP,1582953172
16,100002652,2,2100075965806609538,121.57059299999999,39.151671,DELIVERY,1582954130
17,100002652,2,2100075969531020945,121.57059299999999,39.151671,DELIVERY,1582954540
18,100002652,2,2100075968170361920,121.57059299999999,39.151671,DELIVERY,1582954594
19,100002652,2,2100075967730845329,121.57059299999999,39.151671,DELIVERY,1582954805
20,100002652,4,2100076003631400943,121.576572,39.151357,PICKUP,1582974029
21,100002652,4,2100076003162326648,121.576572,39.151357,PICKUP,1582974087
22,100002652,4,2100076004048864257,121.576572,39.151357,PICKUP,1582974194
23,100002652,4,2100076004361995328,121.576572,39.151357,PICKUP,1582974355
24,100002652,4,2100076004361995328,121.576572,39.151357,DELIVERY,1582974672
25,100002652,4,2100076003631400943,121.576572,39.151357,DELIVERY,1582974900
26,100002652,4,2100076004048864257,121.576572,39.151357,DELIVERY,1582975356
27,100002652,4,2100076003162326648,121.576572,39.151357,DELIVERY,1582975632
28,100006950,0,2100075953516087198,121.41108999999999,39.037649,PICKUP,1582947730
29,100006950,0,2100075948273960056,121.41108999999999,39.037649,PICKUP,1582947469
30,100006950,0,2100075951460123725,121.41108999999999,39.037649,PICKUP,1582947537
31,100006950,0,2100075953697949362,121.41108999999999,39.037649,PICKUP,1582947574
32,100006950,0,2100075952640296499,121.41108999999999,39.037649,PICKUP,1582948220
33,100006950,0,2100075952640296499,121.41108999999999,39.037649,DELIVERY,1582948543
34,100006950,0,2100075956794623720,121.41108999999999,39.037649,PICKUP,1582948461
35,100006950,0,2100075951460123725,121.41108999999999,39.037649,DELIVERY,1582948777
36,100006950,0,2100075953516087198,121.41108999999999,39.037649,DELIVERY,1582948746
37,100006950,0,2100075953697949362,121.41108999999999,39.037649,DELIVERY,1582948972
38,100006950,0,2100075956794623720,121.41108999999999,39.037649,DELIVERY,1582948984
39,100006950,0,2100075948273960056,121.41108999999999,39.037649,DELIVERY,1582949117
40,100006950,0,2100075960698603182,121.41108999999999,39.037649,PICKUP,1582949403
41,100006950,0,2100075960698603182,121.41108999999999,39.037649,DELIVERY,1582949570
42,100006950,1,2100075960875680877,121.410871,39.040177,PICKUP,1582951457
43,100006950,1,2100075963710965490,121.410871,39.040177,PICKUP,1582950769
44,100006950,1,2100075960875680877,121.410871,39.040177,DELIVERY,1582951226
45,100006950,1,2100075963710965490,121.410871,39.040177,DELIVERY,1582951452
46,100006950,2,2100075969891632412,121.41167800000001,39.041677,PICKUP,1582954323
47,100006950,2,2100075971421766673,121.41167800000001,39.041677,PICKUP,1582954482
48,100006950,2,2100075969676183260,121.41167800000001,39.041677,PICKUP,1582954486
49,100006950,2,2100075970672658397,121.41167800000001,39.041677,PICKUP,1582954556
50,100006950,2,2100075969676183260,121.41167800000001,39.041677,DELIVERY,1582954798
51,100006950,2,2100075969891632412,121.41167800000001,39.041677,DELIVERY,1582955173
52,100006950,2,2100075971421766673,121.41167800000001,39.041677,DELIVERY,1582955351
53,100006950,2,2100075970672658397,121.41167800000001,39.041677,DELIVERY,1582955766
54,100006950,5,2100075984061400271,121.41086499999999,39.035009,PICKUP,1582964578
55,100006950,5,2100075984061400271,121.41086499999999,39.035009,DELIVERY,1582964984
56,100006950,5,2100075987825395286,121.41086499999999,39.035009,PICKUP,1582965368
57,100006950,5,2100075987825395286,121.41086499999999,39.035009,DELIVERY,1582966042
58,100006950,5,2100075987355272302,121.41086499999999,39.035009,PICKUP,1582966400
59,100006950,5,2100075988408665930,121.41086499999999,39.035009,PICKUP,1582966848
60,100006950,5,2100075986785732335,121.41086499999999,39.035009,PICKUP,1582966882
61,100006950,5,2100075990174073970,121.41086499999999,39.035009,PICKUP,1582967446
62,100006950,5,2100075987355272302,121.41086499999999,39.035009,DELIVERY,1582967976
63,100006950,5,2100075988408665930,121.41086499999999,39.035009,DELIVERY,1582968130
64,100006950,5,2100075990174073970,121.41086499999999,39.035009,DELIVERY,1582968133
65,100006950,5,2100075986785732335,121.41086499999999,39.035009,DELIVERY,1582968393
66,100006950,7,2100076005368366610,121.424613,39.042972999999996,PICKUP,1582975768
67,100006950,7,2100076005368366610,121.424613,39.042972999999996,DELIVERY,1582975997
68,100006950,7,2100076005465655114,121.424613,39.042972999999996,PICKUP,1582975839
69,100006950,7,2100076009433368090,121.424613,39.042972999999996,PICKUP,1582976216
70,100006950,7,2100076006709593202,121.424613,39.042972999999996,PICKUP,1582976359
71,100006950,7,2100076005465655114,121.424613,39.042972999999996,DELIVERY,1582976808
72,100006950,7,2100076009433368090,121.424613,39.042972999999996,DELIVERY,1582977092
73,100006950,7,2100076006709593202,121.424613,39.042972999999996,DELIVERY,1582977958
74,100023698,0,2100075970876737281,121.366354,39.124743,PICKUP,1582955002
75,100023698,0,2100075970734524161,121.366354,39.124743,PICKUP,1582955002
76,100023698,0,2100075970876737281,121.366354,39.124743,DELIVERY,1582955182
77,100023698,0,2100075970734524161,121.366354,39.124743,DELIVERY,1582955554
78,100023698,1,2100075973638882309,121.381813,39.118126000000004,PICKUP,1582956693
79,100023698,1,2100075973638882309,121.381813,39.118126000000004,DELIVERY,1582956816
80,100023698,1,2100075974838682756,121.381813,39.118126000000004,PICKUP,1582957322
81,100023698,1,2100075976441202085,121.381813,39.118126000000004,PICKUP,1582957665
82,100023698,1,2100075974838682756,121.381813,39.118126000000004,DELIVERY,1582958017
83,100023698,1,2100075976441202085,121.381813,39.118126000000004,DELIVERY,1582958380
84,100023698,1,2100075978433758930,121.381813,39.118126000000004,PICKUP,1582958608
85,100023698,1,2100075977732883504,121.381813,39.118126000000004,PICKUP,1582959623
86,100023698,1,2100075978137273537,121.381813,39.118126000000004,PICKUP,1582959829
87,100023698,1,2100075976569456053,121.381813,39.118126000000004,PICKUP,1582960363
88,100023698,1,2100075977732883504,121.381813,39.118126000000004,DELIVERY,1582960883
89,100023698,1,2100075976569456053,121.381813,39.118126000000004,DELIVERY,1582960997
90,100023698,1,2100075978137273537,121.381813,39.118126000000004,DELIVERY,1582961509
91,100023698,1,2100075978433758930,121.381813,39.118126000000004,DELIVERY,1582961835
92,100023698,2,2100075987601458597,121.370958,39.139503999999995,PICKUP,1582966297
93,100023698,2,2100075987691308453,121.370958,39.139503999999995,PICKUP,1582966297
94,100023698,2,2100075987691308453,121.370958,39.139503999999995,DELIVERY,1582966601
95,100023698,2,2100075987601458597,121.370958,39.139503999999995,DELIVERY,1582966628
96,100023698,2,2100075990732179013,121.370958,39.139503999999995,PICKUP,1582967516
97,100023698,2,2100075990732179013,121.370958,39.139503999999995,DELIVERY,1582967586
98,100023698,2,2100075993704465845,121.370958,39.139503999999995,PICKUP,1582967751
99,100023698,2,2100075993704465845,121.370958,39.139503999999995,DELIVERY,1582969095
100,100023698,3,2100075995589641653,121.397309,39.139693,PICKUP,1582970842
101,100023698,3,2100075995249051061,121.397309,39.139693,PICKUP,1582969979
102,100023698,3,2100075995970143257,121.397309,39.139693,PICKUP,1582970036
103,100023698,3,2100075995249051061,121.397309,39.139693,DELIVERY,1582970300
104,100023698,3,2100075995589641653,121.397309,39.139693,DELIVERY,1582970553
105,100023698,3,2100075995970143257,121.397309,39.139693,DELIVERY,1582971252
106,100023698,4,2100076000108447141,121.37112900000001,39.14192,PICKUP,1582972899
107,100023698,4,2100076000508282108,121.37112900000001,39.14192,PICKUP,1582972269
108,100023698,4,2100076000108447141,121.37112900000001,39.14192,DELIVERY,1582972388
109,100023698,4,2100076000508282108,121.37112900000001,39.14192,DELIVERY,1582972670
